origin_country,origin_wps_score,origin_region,asylum_country,asylum_wps_score,asylum_region,total_female_displaced,female_percentage
Philippines,0.607,EAP,United Arab Emirates,0.872,MENA,15,1
Angola,0.601,SSA,Finland,0.921,DC,15,0.45454545454545453
Kenya,0.542,SSA,Denmark,0.939,DC,15,0.46875
Philippines,0.607,EAP,Belgium,0.912,DC,15,1
Türkiye,0.664,CEE&CA,Cote d'Ivoire,0.589,SSA,15,0.44117647058823528
Kazakhstan,0.722,CEE&CA,Denmark,0.939,DC,15,0.5
Egypt,0.617,MENA,Syrian Arab Rep.,0.364,"MENA, FS",15,0.33333333333333331
Guinea-Bissau,0.508,"SSA, FS",Switzerland,0.877,DC,15,0.38461538461538464
Tunisia,0.671,MENA,Greece,0.752,DC,15,0.4838709677419355
Ghana,0.639,SSA,Netherlands (Kingdom of the),0.905,DC,15,0.15957446808510639
Russian Federation,0.718,CEE&CA,China,0.685,EAP,15,1
China,0.685,EAP,Malaysia,0.738,EAP,15,0.51724137931034486
Eritrea,,,Kuwait,0.723,MENA,15,0.44117647058823528
Ethiopia,0.516,"SSA, FS",Malaysia,0.738,EAP,15,1
State of Palestine,,,Philippines,0.607,EAP,15,0.11811023622047244
Sierra Leone,0.601,SSA,Algeria,0.621,MENA,15,0.33333333333333331
United Kingdom of Great Britain and Northern Ireland,0.864,DC,Norway,0.924,DC,15,0.28301886792452829
Guinea,0.527,SSA,Malaysia,0.738,EAP,15,0.3125
India,0.607,SA,Malaysia,0.738,EAP,15,1
Brazil,0.632,LAC,Sweden,0.924,DC,15,0.6
Colombia,0.551,LAC,El Salvador,0.691,LAC,15,0.5
Russian Federation,0.718,CEE&CA,Mauritania,0.475,SSA,15,0.57692307692307687
Myanmar,0.442,"EAP, FS",Austria,0.898,DC,15,0.39473684210526316
Tajikistan,0.685,CEE&CA,Pakistan,0.462,SA,15,1
Chad,0.476,"SSA, FS",Burkina Faso,0.507,"SSA, FS",15,0.25
Lao People's Dem. Rep.,0.698,EAP,Canada,0.885,DC,15,0.57692307692307687
Türkiye,0.664,CEE&CA,Burkina Faso,0.507,"SSA, FS",15,0.40540540540540543
Iraq,0.51,"MENA, FS",Mauritania,0.475,SSA,15,0.45454545454545453
Egypt,0.617,MENA,Ecuador,0.612,LAC,15,0.51724137931034486
Georgia,0.798,CEE&CA,Romania,0.801,CEE&CA,15,0.32608695652173914
Guyana,0.77,LAC,France,0.864,DC,15,0.375
Sierra Leone,0.601,SSA,Malaysia,0.738,EAP,15,0.40540540540540543
Israel,0.697,DC,Spain,0.862,DC,15,0.11194029850746269
Somalia,0.455,"MENA, FS",Philippines,0.607,EAP,15,0.19230769230769232
Kyrgyzstan,0.697,CEE&CA,Switzerland,0.877,DC,15,0.4838709677419355
Dem. Rep. of the Congo,0.583,"SSA, FS",Djibouti,0.56,MENA,15,0.42857142857142855
Unknown ,,,Latvia,0.884,CEE&CA,15,0.7142857142857143
Syrian Arab Rep.,0.364,"MENA, FS",Indonesia,0.678,EAP,15,0.25862068965517243
Trinidad and Tobago,0.685,LAC,Germany,0.869,DC,15,0.75
Bolivia (Plurinational State of),0.701,LAC,Italy,0.811,DC,15,0.40540540540540543
Ethiopia,0.516,"SSA, FS",Cote d'Ivoire,0.589,SSA,15,1
Argentina,0.791,LAC,France,0.864,DC,15,0.34883720930232559
Cameroon,0.451,"SSA, FS",Cote d'Ivoire,0.589,SSA,15,0.34090909090909088
Syrian Arab Rep.,0.364,"MENA, FS",United Rep. of Tanzania,0.624,SSA,15,0.28846153846153844
Uzbekistan,0.674,CEE&CA,Denmark,0.939,DC,15,0.27777777777777779
Pakistan,0.462,SA,Mexico,0.558,LAC,14,0.10852713178294573
Montenegro,0.743,CEE&CA,Belgium,0.912,DC,14,0.58333333333333337
Sierra Leone,0.601,SSA,Denmark,0.939,DC,14,0.5
Costa Rica,0.824,LAC,Italy,0.811,DC,14,0.48275862068965519
Armenia,0.762,CEE&CA,Ukraine,0.645,"CEE&CA, FS",14,0.35
Sri Lanka,0.706,SA,Benin,0.587,SSA,14,0.63636363636363635
Paraguay,0.768,LAC,Canada,0.885,DC,14,0.7
Kenya,0.542,SSA,Finland,0.921,DC,14,0.51851851851851849
El Salvador,0.691,LAC,Honduras,0.561,LAC,14,0.51851851851851849
Sudan,0.397,"MENA, FS",Brazil,0.632,LAC,14,0.19178082191780821
Iraq,0.51,"MENA, FS",Latvia,0.884,CEE&CA,14,0.36842105263157893
Guinea,0.527,SSA,Portugal,0.861,DC,14,0.11864406779661017
Turkmenistan,0.72,CEE&CA,Netherlands (Kingdom of the),0.905,DC,14,0.12727272727272726
Chad,0.476,"SSA, FS",Senegal,0.657,SSA,14,0.51851851851851849
Burkina Faso,0.507,"SSA, FS",United Kingdom of Great Britain and Northern Ireland,0.864,DC,14,0.31818181818181818
Egypt,0.617,MENA,Qatar,0.723,MENA,14,0.5
State of Palestine,,,Norway,0.924,DC,14,0.25
Zimbabwe,0.59,"SSA, FS",Sweden,0.924,DC,14,0.58333333333333337
Venezuela (Bolivarian Republic of),0.638,"LAC, FS",El Salvador,0.691,LAC,14,0.32558139534883723
Congo,0.583,"SSA, FS",Tunisia,0.671,MENA,14,0.73684210526315785
Senegal,0.657,SSA,Greece,0.752,DC,14,0.24561403508771928
Cote d'Ivoire,0.589,SSA,Mexico,0.558,LAC,14,0.28
Cameroon,0.451,"SSA, FS",Malaysia,0.738,EAP,14,0.3783783783783784
Egypt,0.617,MENA,Sudan,0.397,"MENA, FS",14,0.48275862068965519
Ghana,0.639,SSA,Austria,0.898,DC,14,0.45161290322580644
Iran (Islamic Rep. of),0.608,SA,Kuwait,0.723,MENA,14,0.4375
Burundi,0.407,"SSA, FS",Italy,0.811,DC,14,0.4375
Cote d'Ivoire,0.589,SSA,Zimbabwe,0.59,"SSA, FS",14,0.36842105263157893
Cabo Verde,0.741,SSA,France,0.864,DC,14,1
Uganda,0.587,SSA,Ethiopia,0.516,"SSA, FS",14,0.73684210526315785
Cameroon,0.451,"SSA, FS",Hungary,0.832,CEE&CA,14,0.33333333333333331
Cameroon,0.451,"SSA, FS",Norway,0.924,DC,14,0.41176470588235292
Croatia,0.788,CEE&CA,Canada,0.885,DC,14,0.36842105263157893
Syrian Arab Rep.,0.364,"MENA, FS",Oman,0.755,MENA,14,1
Mozambique,0.548,"SSA, FS",Malawi,0.549,SSA,14,0.4
Belarus,0.739,CEE&CA,Finland,0.921,DC,14,0.25454545454545452
Zimbabwe,0.59,"SSA, FS",Switzerland,0.877,DC,14,1
Russian Federation,0.718,CEE&CA,Luxembourg,0.918,DC,14,0.23333333333333334
Sudan,0.397,"MENA, FS",Kuwait,0.723,MENA,14,0.7
Yemen,0.323,"MENA, FS",Bahrain,0.765,MENA,14,1
Türkiye,0.664,CEE&CA,Portugal,0.861,DC,14,0.15555555555555556
Poland,0.854,CEE&CA,Belgium,0.912,DC,14,0.208955223880597
Zimbabwe,0.59,"SSA, FS",Greece,0.752,DC,14,0.48275862068965519
Türkiye,0.664,CEE&CA,Mali,0.478,"SSA, FS",14,0.4375
Russian Federation,0.718,CEE&CA,Brazil,0.632,LAC,14,0.0273972602739726
Zimbabwe,0.59,"SSA, FS",Italy,0.811,DC,14,0.48275862068965519
Cameroon,0.451,"SSA, FS",Mali,0.478,"SSA, FS",14,0.56
Morocco,0.668,MENA,Denmark,0.939,DC,14,0.26415094339622641
Azerbaijan,0.653,CEE&CA,Norway,0.924,DC,14,0.16666666666666666
Mexico,0.558,LAC,Belgium,0.912,DC,14,0.58333333333333337
Kazakhstan,0.722,CEE&CA,Ukraine,0.645,"CEE&CA, FS",14,0.66666666666666663
Saudi Arabia,0.739,MENA,Sweden,0.924,DC,14,0.60869565217391308
Morocco,0.668,MENA,Finland,0.921,DC,14,0.25925925925925924
South Africa,0.648,SSA,Italy,0.811,DC,14,0.42424242424242425
Türkiye,0.664,CEE&CA,Mozambique,0.548,"SSA, FS",14,0.46666666666666667
El Salvador,0.691,LAC,Norway,0.924,DC,13,0.40625
Sudan,0.397,"MENA, FS",Mali,0.478,"SSA, FS",13,0.54166666666666663
Congo,0.583,"SSA, FS",Chile,0.739,LAC,13,1
Syrian Arab Rep.,0.364,"MENA, FS",Azerbaijan,0.653,CEE&CA,13,0.38235294117647056
Haiti,0.399,"LAC, FS",Armenia,0.762,CEE&CA,13,0.33333333333333331
Bhutan,0.673,SA,Norway,0.924,DC,13,0.28888888888888886
Djibouti,0.56,MENA,Sweden,0.924,DC,13,0.52
Eritrea,,,Jordan,0.686,MENA,13,0.34210526315789475
Brazil,0.632,LAC,Switzerland,0.877,DC,13,0.72222222222222221
Sweden,0.924,DC,Norway,0.924,DC,13,0.30952380952380953
Jamaica,0.703,LAC,Barbados,0.807,LAC,13,1
Greece,0.752,DC,Germany,0.869,DC,13,0.24528301886792453
Bolivia (Plurinational State of),0.701,LAC,Paraguay,0.768,LAC,13,0.22807017543859648
Yemen,0.323,"MENA, FS",Luxembourg,0.918,DC,13,0.28888888888888886
Nigeria,0.495,"SSA, FS",Cote d'Ivoire,0.589,SSA,13,0.14606741573033707
Philippines,0.607,EAP,France,0.864,DC,13,0.5
United States of America,0.84,DC,Costa Rica,0.824,LAC,13,0.24074074074074073
Rwanda,0.624,SSA,Norway,0.924,DC,13,0.23214285714285715
Liberia,0.512,SSA,Mauritania,0.475,SSA,13,0.54166666666666663
Panama,0.696,LAC,Germany,0.869,DC,13,0.56521739130434778
Sudan,0.397,"MENA, FS",Georgia,0.798,CEE&CA,13,0.61904761904761907
Nicaragua,0.659,LAC,Argentina,0.791,LAC,13,0.43333333333333335
Jordan,0.686,MENA,Yemen,0.323,"MENA, FS",13,0.61904761904761907
Lebanon,0.575,"MENA, FS",Norway,0.924,DC,13,0.38235294117647056
Cuba,,,Czechia,0.832,CEE&CA,13,0.24528301886792453
Equatorial Guinea,,,Cameroon,0.451,"SSA, FS",13,1
Colombia,0.551,LAC,Ireland,0.891,DC,13,0.68421052631578949
Benin,0.587,SSA,Austria,0.898,DC,13,0.44827586206896552
Senegal,0.657,SSA,South Africa,0.648,SSA,13,0.053719008264462811
Ghana,0.639,SSA,Brazil,0.632,LAC,13,0.044067796610169491
Zimbabwe,0.59,"SSA, FS",Denmark,0.939,DC,13,0.65
Uganda,0.587,SSA,Dem. Rep. of the Congo,0.583,"SSA, FS",13,0.52
Cote d'Ivoire,0.589,SSA,Cameroon,0.451,"SSA, FS",13,0.203125
Ethiopia,0.516,"SSA, FS",Tunisia,0.671,MENA,13,0.055084745762711863
Eritrea,,,Tunisia,0.671,MENA,13,0.05019305019305019
United Rep. of Tanzania,0.624,SSA,Spain,0.862,DC,13,0.43333333333333335
Dem. Rep. of the Congo,0.583,"SSA, FS",Portugal,0.861,DC,13,0.068783068783068779
Turkmenistan,0.72,CEE&CA,Uganda,0.587,SSA,13,0.72222222222222221
Philippines,0.607,EAP,Costa Rica,0.824,LAC,13,0.68421052631578949
Azerbaijan,0.653,CEE&CA,Ukraine,0.645,"CEE&CA, FS",13,0.27083333333333331
United Arab Emirates,0.872,MENA,Canada,0.885,DC,13,0.38235294117647056
Jamaica,0.703,LAC,France,0.864,DC,13,0.27659574468085107
Bahrain,0.765,MENA,Lebanon,0.575,"MENA, FS",13,0.72222222222222221
United Arab Emirates,0.872,MENA,Denmark,0.939,DC,13,0.48148148148148145
Serbia and Kosovo: S/RES/1244 (1999),0.844,CEE&CA,Hungary,0.832,CEE&CA,12,0.36363636363636365
Congo,0.583,"SSA, FS",Costa Rica,0.824,LAC,12,0.44444444444444442
Benin,0.587,SSA,Netherlands (Kingdom of the),0.905,DC,12,0.33333333333333331
Turkmenistan,0.72,CEE&CA,Sweden,0.924,DC,12,0.4
Ukraine,0.645,"CEE&CA, FS",Lebanon,0.575,"MENA, FS",12,0.6
Belarus,0.739,CEE&CA,Montenegro,0.743,CEE&CA,12,0.631578947368421
Mali,0.478,"SSA, FS",Netherlands (Kingdom of the),0.905,DC,12,0.24
Cambodia,0.667,EAP,Cote d'Ivoire,0.589,SSA,12,1
Bolivia (Plurinational State of),0.701,LAC,United Kingdom of Great Britain and Northern Ireland,0.864,DC,12,0.069767441860465115
Kenya,0.542,SSA,Lebanon,0.575,"MENA, FS",12,0.70588235294117652
Yemen,0.323,"MENA, FS","China, Hong Kong SAR",0.685,EAP,12,0.4
Togo,0.562,SSA,Algeria,0.621,MENA,12,0.41379310344827586
Gambia,0.528,SSA,Brazil,0.632,LAC,12,0.27906976744186046
China,0.685,EAP,Czechia,0.832,CEE&CA,12,0.13333333333333333
Ukraine,0.645,"CEE&CA, FS",Serbia and Kosovo: S/RES/1244 (1999),0.844,CEE&CA,12,0.0011131725417439704
Gabon,0.679,SSA,Morocco,0.668,MENA,12,0.5
China,0.685,EAP,Brazil,0.632,LAC,12,0.0095011876484560574
India,0.607,SA,Mexico,0.558,LAC,12,0.1
Dem. Rep. of the Congo,0.583,"SSA, FS",Romania,0.801,CEE&CA,12,0.41379310344827586
Somalia,0.455,"MENA, FS",Zimbabwe,0.59,"SSA, FS",12,0.25531914893617019
Mongolia,0.799,EAP,Spain,0.862,DC,12,0.5
Congo,0.583,"SSA, FS",Burkina Faso,0.507,"SSA, FS",12,0.631578947368421
Viet Nam,0.721,EAP,Norway,0.924,DC,12,0.29268292682926828
Dem. Rep. of the Congo,0.583,"SSA, FS",Croatia,0.788,CEE&CA,12,0.2857142857142857
Guyana,0.77,LAC,Ireland,0.891,DC,12,0.631578947368421
Stateless,,,Hungary,0.832,CEE&CA,12,0.13953488372093023
Syrian Arab Rep.,0.364,"MENA, FS",Kyrgyzstan,0.697,CEE&CA,12,0.22222222222222221
Estonia,0.896,CEE&CA,Sweden,0.924,DC,12,0.38709677419354838
Cuba,,,Croatia,0.788,CEE&CA,12,0.52173913043478259
Dem. Rep. of the Congo,0.583,"SSA, FS",China,0.685,EAP,12,0.46153846153846156
Niger,0.492,"SSA, FS",Netherlands (Kingdom of the),0.905,DC,12,0.29268292682926828
Tajikistan,0.685,CEE&CA,Ireland,0.891,DC,12,0.41379310344827586
Mozambique,0.548,"SSA, FS",South Africa,0.648,SSA,12,0.29268292682926828
Chile,0.739,LAC,Ireland,0.891,DC,12,0.41379310344827586
Uganda,0.587,SSA,Indonesia,0.678,EAP,12,0.54545454545454541
Morocco,0.668,MENA,Norway,0.924,DC,12,0.24489795918367346
China,0.685,EAP,Indonesia,0.678,EAP,12,0.70588235294117652
Ukraine,0.645,"CEE&CA, FS",Bosnia and Herzegovina,0.753,CEE&CA,12,0.044117647058823532
Angola,0.601,SSA,Greece,0.752,DC,12,0.35294117647058826
Kyrgyzstan,0.697,CEE&CA,Netherlands (Kingdom of the),0.905,DC,12,0.22641509433962265
Afghanistan,0.279,"SA, FS",Ghana,0.639,SSA,12,0.44444444444444442
Pakistan,0.462,SA,China,0.685,EAP,12,0.46153846153846156
Yemen,0.323,"MENA, FS",Madagascar,0.466,SSA,12,0.52173913043478259
Syrian Arab Rep.,0.364,"MENA, FS",Djibouti,0.56,MENA,12,0.44444444444444442
Uzbekistan,0.674,CEE&CA,Czechia,0.832,CEE&CA,12,0.14814814814814814
Armenia,0.762,CEE&CA,Ireland,0.891,DC,12,0.5
Bangladesh,0.526,SA,Denmark,0.939,DC,12,0.36363636363636365
Belarus,0.739,CEE&CA,Denmark,0.939,DC,12,0.2608695652173913
Denmark,0.939,DC,Canada,0.885,DC,12,0.42857142857142855
State of Palestine,,,India,0.607,SA,12,0.23076923076923078
Sudan,0.397,"MENA, FS",China,0.685,EAP,12,1
Gabon,0.679,SSA,Switzerland,0.877,DC,12,1
Saint Vincent and the Grenadines,,,Trinidad and Tobago,0.685,LAC,12,0.70588235294117652
United States of America,0.84,DC,Norway,0.924,DC,12,0.22641509433962265
Unknown ,,,Kuwait,0.723,MENA,12,0.66666666666666663
Unknown ,,,Croatia,0.788,CEE&CA,12,0.35294117647058826
Bangladesh,0.526,SA,Finland,0.921,DC,12,0.22641509433962265
Nigeria,0.495,"SSA, FS",Sudan,0.397,"MENA, FS",12,1
Romania,0.801,CEE&CA,Sweden,0.924,DC,12,0.2608695652173913
Sri Lanka,0.706,SA,Nepal,0.631,SA,12,0.52173913043478259
Morocco,0.668,MENA,United Arab Emirates,0.872,MENA,12,1
Ukraine,0.645,"CEE&CA, FS",China,0.685,EAP,12,0.66666666666666663
Somalia,0.455,"MENA, FS",Niger,0.492,"SSA, FS",12,0.3
Iraq,0.51,"MENA, FS",Philippines,0.607,EAP,12,0.16216216216216217
Lebanon,0.575,"MENA, FS",Ireland,0.891,DC,12,0.31578947368421051
El Salvador,0.691,LAC,Paraguay,0.768,LAC,12,1
Mozambique,0.548,"SSA, FS",Belgium,0.912,DC,11,0.61111111111111116
Yemen,0.323,"MENA, FS",Iceland,0.932,DC,11,0.37931034482758619
Uganda,0.587,SSA,Brazil,0.632,LAC,11,0.52380952380952384
Thailand,0.761,EAP,France,0.864,DC,11,0.40740740740740738
Nigeria,0.495,"SSA, FS",Ghana,0.639,SSA,11,0.37931034482758619
Congo,0.583,"SSA, FS",Gambia,0.528,SSA,11,0.6875
Mozambique,0.548,"SSA, FS",France,0.864,DC,11,0.39285714285714285
Congo,0.583,"SSA, FS",Mauritania,0.475,SSA,11,0.36666666666666664
State of Palestine,,,Chile,0.739,LAC,11,0.52380952380952384
State of Palestine,,,Netherlands (Kingdom of the),0.905,DC,11,0.2391304347826087
Iran (Islamic Rep. of),0.608,SA,Ukraine,0.645,"CEE&CA, FS",11,0.15492957746478872
Sudan,0.397,"MENA, FS",Thailand,0.761,EAP,11,0.5
Philippines,0.607,EAP,Sweden,0.924,DC,11,0.47826086956521741
Morocco,0.668,MENA,Lebanon,0.575,"MENA, FS",11,0.40740740740740738
Afghanistan,0.279,"SA, FS",Sri Lanka,0.706,SA,11,0.40740740740740738
Kyrgyzstan,0.697,CEE&CA,Ukraine,0.645,"CEE&CA, FS",11,0.39285714285714285
Uzbekistan,0.674,CEE&CA,Romania,0.801,CEE&CA,11,0.36666666666666664
Egypt,0.617,MENA,United Arab Emirates,0.872,MENA,11,0.6875
Uzbekistan,0.674,CEE&CA,Greece,0.752,DC,11,1
El Salvador,0.691,LAC,Brazil,0.632,LAC,11,0.16176470588235295
Ghana,0.639,SSA,Denmark,0.939,DC,11,0.57894736842105265
Dominica,,,France,0.864,DC,11,0.44
Nepal,0.631,SA,Sweden,0.924,DC,11,0.37931034482758619
France,0.864,DC,Switzerland,0.877,DC,11,1
Israel,0.697,DC,Belgium,0.912,DC,11,0.39285714285714285
Cote d'Ivoire,0.589,SSA,Senegal,0.657,SSA,11,0.6875
Guatemala,0.561,LAC,Germany,0.869,DC,11,0.52380952380952384
Turkmenistan,0.72,CEE&CA,Romania,0.801,CEE&CA,11,0.45833333333333331
Kuwait,0.723,MENA,Netherlands (Kingdom of the),0.905,DC,11,0.45833333333333331
Kenya,0.542,SSA,Austria,0.898,DC,11,0.47826086956521741
Georgia,0.798,CEE&CA,Ukraine,0.645,"CEE&CA, FS",11,0.57894736842105265
Uganda,0.587,SSA,Mexico,0.558,LAC,11,0.39285714285714285
Dem. Rep. of the Congo,0.583,"SSA, FS",Lebanon,0.575,"MENA, FS",11,0.6875
Central African Rep.,0.362,"SSA, FS",Gabon,0.679,SSA,11,0.37931034482758619
Japan,0.866,DC,Canada,0.885,DC,11,0.55
Nepal,0.631,SA,Ireland,0.891,DC,11,0.15277777777777779
Cameroon,0.451,"SSA, FS",Denmark,0.939,DC,11,0.55
Togo,0.562,SSA,United Kingdom of Great Britain and Northern Ireland,0.864,DC,11,0.28947368421052633
Azerbaijan,0.653,CEE&CA,Greece,0.752,DC,11,0.52380952380952384
Congo,0.583,"SSA, FS",Philippines,0.607,EAP,11,0.26829268292682928
Benin,0.587,SSA,United Kingdom of Great Britain and Northern Ireland,0.864,DC,11,0.17460317460317459
Saudi Arabia,0.739,MENA,Egypt,0.617,MENA,11,0.6875
Ecuador,0.612,LAC,United Kingdom of Great Britain and Northern Ireland,0.864,DC,11,0.067901234567901231
Afghanistan,0.279,"SA, FS",Kuwait,0.723,MENA,11,0.6470588235294118
United Arab Emirates,0.872,MENA,Germany,0.869,DC,11,0.5
Guinea-Bissau,0.508,"SSA, FS",Belgium,0.912,DC,11,0.42307692307692307
Somalia,0.455,"MENA, FS",South Sudan,0.411,"SSA, FS",11,0.30555555555555558
Morocco,0.668,MENA,Argentina,0.791,LAC,11,0.3235294117647059
United States of America,0.84,DC,El Salvador,0.691,LAC,11,1
Indonesia,0.678,EAP,Italy,0.811,DC,11,0.6470588235294118
Turkmenistan,0.72,CEE&CA,Switzerland,0.877,DC,11,0.33333333333333331
Romania,0.801,CEE&CA,Hungary,0.832,CEE&CA,11,0.47826086956521741
United Rep. of Tanzania,0.624,SSA,Uganda,0.587,SSA,11,0.57894736842105265
Liberia,0.512,SSA,Malaysia,0.738,EAP,11,0.42307692307692307
Thailand,0.761,EAP,Sweden,0.924,DC,11,0.35483870967741937
Philippines,0.607,EAP,Spain,0.862,DC,11,0.5
South Africa,0.648,SSA,Mexico,0.558,LAC,11,0.44
Cameroon,0.451,"SSA, FS",Togo,0.562,SSA,11,0.6875
United States of America,0.84,DC,Sweden,0.924,DC,11,0.39285714285714285
Dem. Rep. of the Congo,0.583,"SSA, FS",Mauritius,0.679,SSA,11,0.34375
Rwanda,0.624,SSA,Austria,0.898,DC,11,0.47826086956521741
Lebanon,0.575,"MENA, FS",Ethiopia,0.516,"SSA, FS",11,0.37931034482758619
Sudan,0.397,"MENA, FS",Mauritania,0.475,SSA,11,0.125
Paraguay,0.768,LAC,Mexico,0.558,LAC,11,0.6875
Central African Rep.,0.362,"SSA, FS",Switzerland,0.877,DC,11,0.42307692307692307
Burundi,0.407,"SSA, FS",Central African Rep.,0.362,"SSA, FS",11,0.42307692307692307
Ecuador,0.612,LAC,El Salvador,0.691,LAC,11,0.39285714285714285
Iran (Islamic Rep. of),0.608,SA,Argentina,0.791,LAC,11,0.30555555555555558
Türkiye,0.664,CEE&CA,Argentina,0.791,LAC,11,0.31428571428571428
Portugal,0.861,DC,Switzerland,0.877,DC,10,1
Uruguay,0.822,LAC,Italy,0.811,DC,10,0.4
Saudi Arabia,0.739,MENA,Jordan,0.686,MENA,10,1
Ghana,0.639,SSA,Tunisia,0.671,MENA,10,0.58823529411764708
Philippines,0.607,EAP,Ireland,0.891,DC,10,1
Zimbabwe,0.59,"SSA, FS","China, Hong Kong SAR",0.685,EAP,10,0.45454545454545453
Türkiye,0.664,CEE&CA,"China, Hong Kong SAR",0.685,EAP,10,1
Kyrgyzstan,0.697,CEE&CA,Mexico,0.558,LAC,10,0.34482758620689657
Zambia,0.566,SSA,Netherlands (Kingdom of the),0.905,DC,10,0.66666666666666663
Somalia,0.455,"MENA, FS","China, Hong Kong SAR",0.685,EAP,10,0.2
Cambodia,0.667,EAP,Netherlands (Kingdom of the),0.905,DC,10,0.5
Philippines,0.607,EAP,"China, Hong Kong SAR",0.685,EAP,10,1
Sri Lanka,0.706,SA,"China, Hong Kong SAR",0.685,EAP,10,0.23809523809523808
Togo,0.562,SSA,Netherlands (Kingdom of the),0.905,DC,10,0.38461538461538464
India,0.607,SA,"China, Hong Kong SAR",0.685,EAP,10,1
Afghanistan,0.279,"SA, FS",Paraguay,0.768,LAC,10,0.66666666666666663
Niger,0.492,"SSA, FS",Switzerland,0.877,DC,10,0.35714285714285715
Spain,0.862,DC,Mexico,0.558,LAC,10,0.35714285714285715
Cameroon,0.451,"SSA, FS",Eswatini,0.556,SSA,10,0.24390243902439024
Togo,0.562,SSA,Brazil,0.632,LAC,10,0.016155088852988692
Angola,0.601,SSA,Zimbabwe,0.59,"SSA, FS",10,1
Albania,0.731,CEE&CA,Netherlands (Kingdom of the),0.905,DC,10,0.37037037037037035
Czechia,0.832,CEE&CA,France,0.864,DC,10,0.33333333333333331
Cuba,,,Guyana,0.77,LAC,10,0.29411764705882354
Bangladesh,0.526,SA,Belgium,0.912,DC,10,0.23255813953488372
Namibia,0.608,SSA,Ireland,0.891,DC,10,0.625
Trinidad and Tobago,0.685,LAC,Mexico,0.558,LAC,10,0.58823529411764708
Mauritania,0.475,SSA,Congo,0.583,"SSA, FS",10,0.16393442622950818
Zimbabwe,0.59,"SSA, FS",Norway,0.924,DC,10,0.47619047619047616
Congo,0.583,"SSA, FS",Sudan,0.397,"MENA, FS",10,0.66666666666666663
Burkina Faso,0.507,"SSA, FS",Cameroon,0.451,"SSA, FS",10,0.12195121951219512
Venezuela (Bolivarian Republic of),0.638,"LAC, FS",India,0.607,SA,10,1
Nigeria,0.495,"SSA, FS",Congo,0.583,"SSA, FS",10,0.38461538461538464
Egypt,0.617,MENA,Cameroon,0.451,"SSA, FS",10,1
"China, Hong Kong SAR",0.685,EAP,Germany,0.869,DC,10,0.26315789473684209
Brazil,0.632,LAC,Paraguay,0.768,LAC,10,0.47619047619047616
Equatorial Guinea,,,Switzerland,0.877,DC,10,1
Stateless,,,Croatia,0.788,CEE&CA,10,0.013812154696132596
Mali,0.478,"SSA, FS",Portugal,0.861,DC,10,0.21739130434782608
Afghanistan,0.279,"SA, FS",United Arab Emirates,0.872,MENA,10,0.625
Angola,0.601,SSA,Cuba,,,10,1
Afghanistan,0.279,"SA, FS",Zambia,0.566,SSA,10,0.41666666666666669
Dominica,,,Germany,0.869,DC,10,1
Iraq,0.51,"MENA, FS",Estonia,0.896,CEE&CA,10,0.66666666666666663
Eritrea,,,Iraq,0.51,"MENA, FS",10,0.4
Egypt,0.617,MENA,Yemen,0.323,"MENA, FS",10,0.625
Ukraine,0.645,"CEE&CA, FS",Costa Rica,0.824,LAC,10,0.18867924528301888
Syrian Arab Rep.,0.364,"MENA, FS",Bosnia and Herzegovina,0.753,CEE&CA,10,0.071942446043165464
Germany,0.869,DC,Denmark,0.939,DC,10,0.47619047619047616
Sudan,0.397,"MENA, FS",Liberia,0.512,SSA,10,0.625
Gabon,0.679,SSA,Italy,0.811,DC,10,0.30303030303030304
Serbia and Kosovo: S/RES/1244 (1999),0.844,CEE&CA,Montenegro,0.743,CEE&CA,10,0.29411764705882354
Romania,0.801,CEE&CA,Belgium,0.912,DC,10,0.34482758620689657
Indonesia,0.678,EAP,France,0.864,DC,10,0.47619047619047616
South Sudan,0.411,"SSA, FS",Belgium,0.912,DC,10,0.11764705882352941
Burundi,0.407,"SSA, FS",Spain,0.862,DC,10,0.5
Morocco,0.668,MENA,Syrian Arab Rep.,0.364,"MENA, FS",10,1
Benin,0.587,SSA,Mexico,0.558,LAC,10,0.21739130434782608
Philippines,0.607,EAP,Netherlands (Kingdom of the),0.905,DC,10,0.25
Benin,0.587,SSA,Spain,0.862,DC,10,0.2857142857142857
Eritrea,,,Lesotho,0.614,SSA,10,0.065789473684210523
Guatemala,0.561,LAC,Uruguay,0.822,LAC,10,1
Libya,0.608,"MENA, FS",Chad,0.476,"SSA, FS",10,0.66666666666666663
Sri Lanka,0.706,SA,Argentina,0.791,LAC,10,0.27777777777777779
Tunisia,0.671,MENA,Syrian Arab Rep.,0.364,"MENA, FS",10,0.5
United States of America,0.84,DC,France,0.864,DC,10,0.45454545454545453
Zambia,0.566,SSA,Sweden,0.924,DC,10,0.625
Israel,0.697,DC,France,0.864,DC,10,0.43478260869565216
Türkiye,0.664,CEE&CA,Togo,0.562,SSA,10,1
Dominican Rep.,0.675,LAC,Brazil,0.632,LAC,10,0.015267175572519083
Angola,0.601,SSA,Namibia,0.608,SSA,10,0.66666666666666663
United Kingdom of Great Britain and Northern Ireland,0.864,DC,Ireland,0.891,DC,10,0.55555555555555558
Lebanon,0.575,"MENA, FS",Ecuador,0.612,LAC,10,0.26315789473684209
Stateless,,,Iceland,0.932,DC,10,0.32258064516129031
