origin_country,origin_wps_score,origin_region,asylum_country,asylum_wps_score,asylum_region,total_female_displaced,female_percentage
Somalia,0.455,"MENA, FS",Uganda,0.587,SSA,21326,0.41953887315077115
Eritrea,,,Egypt,0.617,MENA,21210,0.54024452368823228
Burundi,0.407,"SSA, FS",Uganda,0.587,SSA,21159,0.49241331161275309
Central African Rep.,0.362,"SSA, FS",Congo,0.583,"SSA, FS",21108,0.5536234164765127
Syrian Arab Rep.,0.364,"MENA, FS",France,0.864,DC,20929,0.451698536711702
Venezuela (Bolivarian Republic of),0.638,"LAC, FS",Uruguay,0.822,LAC,20796,0.505174172861099
Dem. Rep. of the Congo,0.583,"SSA, FS",France,0.864,DC,20359,0.44719500944515223
Cuba,,,Mexico,0.558,LAC,20252,0.34206570391014274
Eritrea,,,Switzerland,0.877,DC,20249,0.5244767923746374
Dem. Rep. of the Congo,0.583,"SSA, FS",South Africa,0.648,SSA,19771,0.42630126353012204
Ethiopia,0.516,"SSA, FS",Kenya,0.542,SSA,19570,0.46344755725010067
Venezuela (Bolivarian Republic of),0.638,"LAC, FS",Mexico,0.558,LAC,19085,0.14229157657724825
Iran (Islamic Rep. of),0.608,SA,United Kingdom of Great Britain and Northern Ireland,0.864,DC,18890,0.40422845648498856
Somalia,0.455,"MENA, FS",Yemen,0.323,"MENA, FS",18562,0.48373814239549673
Russian Federation,0.718,CEE&CA,France,0.864,DC,18389,0.478133125325013
Afghanistan,0.279,"SA, FS",France,0.864,DC,18270,0.18291584069201658
Ukraine,0.645,"CEE&CA, FS",Croatia,0.788,CEE&CA,17724,0.65001650346572781
Guinea,0.527,SSA,France,0.864,DC,17494,0.48424957094613297
Dem. Rep. of the Congo,0.583,"SSA, FS",Malawi,0.549,SSA,17365,0.47217010631644779
India,0.607,SA,Canada,0.885,DC,17303,0.28148690418090128
Unknown ,,,Germany,0.869,DC,16843,0.38850829239037665
Dem. Rep. of the Congo,0.583,"SSA, FS",Congo,0.583,"SSA, FS",16098,0.48103989242492157
Sudan,0.397,"MENA, FS",Central African Rep.,0.362,"SSA, FS",16066,0.53508742714404667
Haiti,0.399,"LAC, FS",Canada,0.885,DC,15902,0.47101685376617991
Myanmar,0.442,"EAP, FS",India,0.607,SA,15512,0.1899072010969369
Syrian Arab Rep.,0.364,"MENA, FS",Netherlands (Kingdom of the),0.905,DC,15265,0.17781634768832924
Cote d'Ivoire,0.589,SSA,France,0.864,DC,14968,0.57600246286461942
El Salvador,0.691,LAC,Mexico,0.558,LAC,14738,0.38654007553503988
Ukraine,0.645,"CEE&CA, FS",Cyprus,0.77,CEE&CA,14660,0.66757741347905286
Russian Federation,0.718,CEE&CA,Germany,0.869,DC,14135,0.48165059460932974
Burundi,0.407,"SSA, FS",Kenya,0.542,SSA,13720,0.42371834465719582
Niger,0.492,"SSA, FS",Mali,0.478,"SSA, FS",13599,0.54045783324060093
Ethiopia,0.516,"SSA, FS",Somalia,0.455,"MENA, FS",13395,0.49535889944898487
